Revolt;Participants;Year;Monarchy;Synopsis;Country;freq
Aguilar-Ubalde conspiracy 1805;Local elites;1805;Spanish;La conspiración fue organizada y liderada por los criollos José Gabriel Aguilar, mineralogista, y Manuel Ubalde, quien se desempeñaba como asesor letrado del Presidente de la Audiencia del Cusco. Tuvo como objetivo declarar la independencia del Perú y coronar a un descendiente del linaje de los incas como emperador en América, dado que consideraban que el gobierno español era ilegal y los españoles debían ser expulsados. El primer elegido rechazó la oferta y, por eso, los conspiradores lo reemplazaron por uno de los líderes, José Gabriel Aguilar, quien decía pertenecer a la nobleza incaica, lo que posteriormente desmintió en el transcurso del juicio que se hizo a los rebeldes. El plan era arrestar a los miembros de la Real Audiencia, apoderarse de los caudales y las armas de la ciudad y coronar en la catedral como Inca a Aguilar. Aspiraban a sumar a los criollos y a los indios de las parroquias de Cusco pese a que no había indios entre la dirigencia de los conspiradores. Sin embargo, un delator informó a la misma Audiencia la conspiración antes de estallar y los líderes fueron encarcelados, juzgados y condenado a muerte en la horca en la plaza de Cusco en diciembre de 1805.;Peru;1
Bayano rebellion 1552;Maroon;1558;Spanish;En el año de 1527, se producen los primeros alzamientos de grupos esclavos africanos en Panamá. El aumento de la crueldad contra ellos conllevó al levantamiento permanente desde 1548. Los esclavos alzados trataron de evadir la esclavitud y la represión buscando refugio en las selvas convirtiéndose así en cimarrones (negros alzados) formando comunidades conocidas como palenques y eligiendo sus propios líderes. El primero de ellos fue Felipillo, huyó del archipiélago de Las Perlas y creó un palenque en el golfo de El Darién donde presentó una fiera resistencia contra los esclavistas. La superioridad de las armas de fuego de las tropas españolas organizadas por el gobernador de Panamá Sancho Clavito y al mando del capitán Francisco Carreño, reprimen violentamente la insurrección que es continuada por Bayano (nacido en Mandinka = Sierra Leona), quién llegó a Panamá en un barco negrero y lideró una nueva rebelión generalizada a partir de 1552, fundando un palenque en Reconcholón, donde logró reunir hasta 1.200 guerreros y fue nombrado “rey”. La política de terror seguida por las tropas españolas condicionó la resistencia cimarrona, pero la lucha continuó por años hasta que, siendo “engañado” para iniciar tratativas de paz, es capturado en el año de 1555. Bayano es enviado al Perú y luego a España. Nuevos líderes surgirán manteniendo la resistencia tres años más: Luis Mozambique (oriundo de Etiopía) y Antón Mandinga, quienes negociaron armas y provisiones de piratas ingleses y franceses.;Panama;1
Beeldenstorm Iconoclastic Fury 1566;Clergymen;1566;Spanish;On August 10, 1566, a monastery at Steenvoorde in Flanders was sacked by a crowd led by the Calvinist preacher Sebastian Matte. It was the beginning of a wave of iconoclastic riots –known as the Beeldenstorm– which consisted of the destruction of images in churches, monasteries and other church buildings. The movement quickly spread east and north across the Low Countries, then ruled by the Spanish Habsburgs, reaching cities as important as Antwerp, Ghent, Valenciennes and others. Two weeks later, the governor of the Spanish Low Countries, Margarita de Parma, issued a provisional edict aiming at quelling the revolt, but this aim was not achieved until spring of 1567 when the king sent Duke of Alba with a huge army. His arrival meant the flight of Prince William of Orange, the execution of the counts of Egmont and Horne for treason and lese majesty and the creation of a Council of Troubles in charge of channeling the repression and persecution of those involved. Definitely, these events, which lasted until October, represented the foundations of the Protestant dissent and revolt against the sovereignty and Catholic policy of Philip II.;Belgium;1
Beeldenstorm Iconoclastic Fury 1566;Local elites;1566;Spanish;On August 10, 1566, a monastery at Steenvoorde in Flanders was sacked by a crowd led by the Calvinist preacher Sebastian Matte. It was the beginning of a wave of iconoclastic riots –known as the Beeldenstorm– which consisted of the destruction of images in churches, monasteries and other church buildings. The movement quickly spread east and north across the Low Countries, then ruled by the Spanish Habsburgs, reaching cities as important as Antwerp, Ghent, Valenciennes and others. Two weeks later, the governor of the Spanish Low Countries, Margarita de Parma, issued a provisional edict aiming at quelling the revolt, but this aim was not achieved until spring of 1567 when the king sent Duke of Alba with a huge army. His arrival meant the flight of Prince William of Orange, the execution of the counts of Egmont and Horne for treason and lese majesty and the creation of a Council of Troubles in charge of channeling the repression and persecution of those involved. Definitely, these events, which lasted until October, represented the foundations of the Protestant dissent and revolt against the sovereignty and Catholic policy of Philip II.;Belgium;1
Beeldenstorm Iconoclastic Fury 1566;Others;1566;Spanish;On August 10, 1566, a monastery at Steenvoorde in Flanders was sacked by a crowd led by the Calvinist preacher Sebastian Matte. It was the beginning of a wave of iconoclastic riots –known as the Beeldenstorm– which consisted of the destruction of images in churches, monasteries and other church buildings. The movement quickly spread east and north across the Low Countries, then ruled by the Spanish Habsburgs, reaching cities as important as Antwerp, Ghent, Valenciennes and others. Two weeks later, the governor of the Spanish Low Countries, Margarita de Parma, issued a provisional edict aiming at quelling the revolt, but this aim was not achieved until spring of 1567 when the king sent Duke of Alba with a huge army. His arrival meant the flight of Prince William of Orange, the execution of the counts of Egmont and Horne for treason and lese majesty and the creation of a Council of Troubles in charge of channeling the repression and persecution of those involved. Definitely, these events, which lasted until October, represented the foundations of the Protestant dissent and revolt against the sovereignty and Catholic policy of Philip II.;Belgium;1
Bullangas 1835-1843;Artisans;1835;Spanish;The Bullangas (bullangues in Catalan) was a cycle of protest and popular riots that shook Catalonia between 1835 and 1843, in the context of the First Carlist War (1833-1840) and its post-war period. The riots broke out at first against absolutist despotism and manifested themselves in the form of anticlerical violence, which is why they were initially supported by liberal sectors and the army. On 25 July 1835, for example, the news that a Carlist party had tortured and murdered some liberal militiamen caused a riot in Barcelona. The mob stormed a dozen convents and, on 5 August, assassinated General Bassa. This riot, however, was also the result of the economic and social imbalances caused by liberal reforms and industrialisation, which affected artisans and small vendors. Not surprisingly, on 5 and 6 August 1835, the popular violence took on a workerist tone and factories were attacked with the aim of destroying machinery, which led the liberals to withdraw their support for the multitude and agree with the authorities to repress them. In this sense, after the liberal victory in the First Carlist War, Catalonia continued to be the scene of the bullangas in which these constant tensions, resulting from the new capitalist dynamics, were manifested. The best known is the Jamancia, a popular insurrection of a radical progressive nature that broke out in September 1843 against the new Spanish liberal government and was defeated on 19 November.;Spain;1
Bullangas 1835-1843;Local elites;1835;Spanish;The Bullangas (bullangues in Catalan) was a cycle of protest and popular riots that shook Catalonia between 1835 and 1843, in the context of the First Carlist War (1833-1840) and its post-war period. The riots broke out at first against absolutist despotism and manifested themselves in the form of anticlerical violence, which is why they were initially supported by liberal sectors and the army. On 25 July 1835, for example, the news that a Carlist party had tortured and murdered some liberal militiamen caused a riot in Barcelona. The mob stormed a dozen convents and, on 5 August, assassinated General Bassa. This riot, however, was also the result of the economic and social imbalances caused by liberal reforms and industrialisation, which affected artisans and small vendors. Not surprisingly, on 5 and 6 August 1835, the popular violence took on a workerist tone and factories were attacked with the aim of destroying machinery, which led the liberals to withdraw their support for the multitude and agree with the authorities to repress them. In this sense, after the liberal victory in the First Carlist War, Catalonia continued to be the scene of the bullangas in which these constant tensions, resulting from the new capitalist dynamics, were manifested. The best known is the Jamancia, a popular insurrection of a radical progressive nature that broke out in September 1843 against the new Spanish liberal government and was defeated on 19 November.;Spain;1
Bullangas 1835-1843;Workers;1835;Spanish;The Bullangas (bullangues in Catalan) was a cycle of protest and popular riots that shook Catalonia between 1835 and 1843, in the context of the First Carlist War (1833-1840) and its post-war period. The riots broke out at first against absolutist despotism and manifested themselves in the form of anticlerical violence, which is why they were initially supported by liberal sectors and the army. On 25 July 1835, for example, the news that a Carlist party had tortured and murdered some liberal militiamen caused a riot in Barcelona. The mob stormed a dozen convents and, on 5 August, assassinated General Bassa. This riot, however, was also the result of the economic and social imbalances caused by liberal reforms and industrialisation, which affected artisans and small vendors. Not surprisingly, on 5 and 6 August 1835, the popular violence took on a workerist tone and factories were attacked with the aim of destroying machinery, which led the liberals to withdraw their support for the multitude and agree with the authorities to repress them. In this sense, after the liberal victory in the First Carlist War, Catalonia continued to be the scene of the bullangas in which these constant tensions, resulting from the new capitalist dynamics, were manifested. The best known is the Jamancia, a popular insurrection of a radical progressive nature that broke out in September 1843 against the new Spanish liberal government and was defeated on 19 November.;Spain;1
Cochabamba rebellion 1730;Clergymen;1730;Spanish;Having started in Cochabamba, the rebellion would quickly spread throughout the whole province of Oruro. Led by the mestizo Alejo Calatayud, it explodes when the viceroy of Peru, the Marquis of Castelfuerte, orders a new population census in order to include the mestizos (mixed-race people) in the category of taxpayers, given that much of the Indian population pretended to be mestizo not to pay taxes. The rebels also claimed for a reduced quota of the Indians to be included in the ‘mita’. The priests and friars also supported the rebellion, adding to its goals the opposition to the new forced distribution of goods, another measure promoted by the viceroy that affected both the Indians and the mestizos. As the corregidor was involved in both measures, the rebellion was firstly directed against this crown official, typically someone sent from Spain and hated by the native population. The Creoles then joined the rebellion, adding the claim that henceforth the corregidor and the members of the municipal council should be Creoles, having achieved this objective after murdering and replacing the Spaniards who then held these offices. Paradoxically, once the goal was achieved, the new Creole mayor ordered the city's troops to suppress the rebellion, and Calatayud and the other mixed-race leaders were hanged.;Bolivia;1
Cochabamba rebellion 1730;Indigenous;1730;Spanish;Having started in Cochabamba, the rebellion would quickly spread throughout the whole province of Oruro. Led by the mestizo Alejo Calatayud, it explodes when the viceroy of Peru, the Marquis of Castelfuerte, orders a new population census in order to include the mestizos (mixed-race people) in the category of taxpayers, given that much of the Indian population pretended to be mestizo not to pay taxes. The rebels also claimed for a reduced quota of the Indians to be included in the ‘mita’. The priests and friars also supported the rebellion, adding to its goals the opposition to the new forced distribution of goods, another measure promoted by the viceroy that affected both the Indians and the mestizos. As the corregidor was involved in both measures, the rebellion was firstly directed against this crown official, typically someone sent from Spain and hated by the native population. The Creoles then joined the rebellion, adding the claim that henceforth the corregidor and the members of the municipal council should be Creoles, having achieved this objective after murdering and replacing the Spaniards who then held these offices. Paradoxically, once the goal was achieved, the new Creole mayor ordered the city's troops to suppress the rebellion, and Calatayud and the other mixed-race leaders were hanged.;Bolivia;1
